record_id,study_id,ft_reason_code,ft_reason_detail,evidence_source
R00001,ONCORE_protocol,FT8/FT1,Protocolo sin resultados (study protocol).,R00001.pdf
R00004,SystematicReview_2024,FT1,No es ECA/RCT: revisión sistemática y metaanálisis.,R00004.pdf
R00007,Ma_2018_PakJPharmSci,FT6,"Ensayo con reporte de resultados inconsistente/incompleto: tablas requieren n por estrato de edad para combinar, pero no se reporta; además hay discrepancias de n (35/33/31) y las tablas no permiten extraer un contraste único trazable.",R00007.pdf
R00008,Kirkham_2023_TITAN,FT3,Intervención multicomponente (cardiac rehabilitation-based) con componentes de dieta/nutrición además de ejercicio; no es ejercicio aislado.,R00008.pdf
R00009,Naaktgeboren_2023_PACTPACES_FU,FT1,"Seguimiento a largo plazo (~8,5 años) de ECA previos (PACT/PACES) con participación parcial; este informe no corresponde a un ECA evaluable en la ventana/estimando predefinidos.",R00009.pdf
R00010,ONCORE_protocol_2021,FT8/FT1,Protocolo sin resultados (study protocol).,R00010.pdf
R00011,ExerciseTrainingProtocol,FT8/FT1,Protocolo de estudio (protocol) sin resultados.,R00011.pdf
R00013,Protocol,FT8/FT1,Protocolo (sin resultados).,R00013.pdf
R00014,CARDAPAC_protocol,FT8/FT1,Protocolo del estudio CARDAPAC (sin resultados); existe artículo de resultados separado (R00024).,R00014.pdf
R00015,Foulkes_2019_nonrandomized,FT1,Estudio no aleatorizado (nonrandomized trial) de ejercicio vs usual care.,R00015.pdf
R00017,Kirkham_2020_BCRTT_training_hemodynamics,FT1,No es ECA/RCT: ensayo controlado no aleatorizado (non-randomized controlled trial).,R00017.pdf
R00023,WalkingMeditation_RCT,FT3/FT6,Intervención no es ejercicio aislado (combina componente físico y mental; el propio texto indica que no se pueden separar) y no reporta FEVI/GLS/troponina/BNP.,R00023.pdf
R00025,Schneider_2023_CardioOncRehab,FT2/FT3,"Población mixta (≈9% linfoma) y la intervención es rehabilitación multicomponente (incluye counselling, nutrición, psicología, etc.), no ejercicio aislado.",R00025.pdf
